"DateTime","Followers"
"2021-02-07 00:00:00",56957
"2021-02-08 00:00:00",56963
"2021-02-09 00:00:00",56973
"2021-02-10 00:00:00",56976
"2021-02-11 00:00:00",56987
"2021-02-12 00:00:00",57008
"2021-02-13 00:00:00",57038
"2021-02-14 00:00:00",57062
"2021-02-15 00:00:00",57091
"2021-02-16 00:00:00",57110
"2021-02-17 00:00:00",57110
"2021-02-18 00:00:00",57143
"2021-02-19 00:00:00",57156
"2021-02-20 00:00:00",57168
"2021-02-21 00:00:00",57183
"2021-02-22 00:00:00",57189
"2021-02-23 00:00:00",57196
"2021-02-24 00:00:00",57208
"2021-02-25 00:00:00",57210
"2021-02-26 00:00:00",57218
"2021-02-27 00:00:00",57226
"2021-02-28 00:00:00",57236
"2021-03-01 00:00:00",57242
"2021-03-02 00:00:00",57246
"2021-03-03 00:00:00",57252
"2021-03-04 00:00:00",57265
"2021-03-05 00:00:00",57268
"2021-03-06 00:00:00",57276
"2021-03-07 00:00:00",57281
"2021-03-08 00:00:00",57296
"2021-03-09 00:00:00",57309
"2021-03-10 00:00:00",57322
"2021-03-11 00:00:00",57339
"2021-03-12 00:00:00",57345
"2021-03-13 00:00:00",57359
"2021-03-14 00:00:00",57366
"2021-03-15 00:00:00",57371
"2021-03-16 00:00:00",57378
"2021-03-17 00:00:00",57389
"2021-03-18 00:00:00",57394
"2021-03-19 00:00:00",57403
"2021-03-20 00:00:00",57413
"2021-03-21 00:00:00",57429
"2021-03-22 00:00:00",57447
"2021-03-23 00:00:00",57480
"2021-03-24 00:00:00",57505
"2021-03-25 00:00:00",57537
"2021-03-26 00:00:00",57556
"2021-03-27 00:00:00",57578
"2021-03-28 00:00:00",57602
"2021-03-29 00:00:00",57623
"2021-03-30 00:00:00",57646
"2021-03-31 00:00:00",57678
"2021-04-01 00:00:00",57697
"2021-04-02 00:00:00",57718
"2021-04-03 00:00:00",57743
"2021-04-04 00:00:00",57769
"2021-04-05 00:00:00",57789
"2021-04-06 00:00:00",57805
"2021-04-07 00:00:00",57814
"2021-04-08 00:00:00",57828
"2021-04-09 00:00:00",57841
"2021-04-10 00:00:00",57853
"2021-04-11 00:00:00",57868
"2021-04-12 00:00:00",57885
"2021-04-13 00:00:00",57888
"2021-04-14 00:00:00",57893
"2021-04-15 00:00:00",57905
"2021-04-16 00:00:00",57907
"2021-04-17 00:00:00",57919
"2021-04-18 00:00:00",57934
"2021-04-19 00:00:00",57943
"2021-04-20 00:00:00",57946
"2021-04-21 00:00:00",57943
"2021-04-22 00:00:00",57951
"2021-04-23 00:00:00",57962
"2021-04-24 00:00:00",57969
"2021-04-25 00:00:00",57976
"2021-04-26 00:00:00",57988
"2021-04-27 00:00:00",57996
"2021-04-28 00:00:00",58000
"2021-04-29 00:00:00",58007
"2021-04-30 00:00:00",58016
"2021-05-01 00:00:00",58022
"2021-05-02 00:00:00",58031
"2021-05-03 00:00:00",58039
"2021-05-04 00:00:00",58046
"2021-05-05 00:00:00",58046
"2021-05-06 00:00:00",58049
"2021-05-07 00:00:00",58063
"2021-05-08 00:00:00",58062
"2021-05-09 00:00:00",58074
"2021-05-10 00:00:00",58087
"2021-05-11 00:00:00",58093
"2021-05-12 00:00:00",58103
"2021-05-13 00:00:00",58112
"2021-05-14 00:00:00",58129
"2021-05-15 00:00:00",58129
"2021-05-16 00:00:00",58137
"2021-05-17 00:00:00",58139
"2021-05-18 00:00:00",58145
"2021-05-19 00:00:00",58190
"2021-05-20 00:00:00",58250
"2021-05-21 00:00:00",58271
"2021-05-22 00:00:00",58298
"2021-05-23 00:00:00",58319
"2021-05-24 00:00:00",58338
"2021-05-25 00:00:00",58360
"2021-05-26 00:00:00",58384
"2021-05-27 00:00:00",58396
"2021-05-28 00:00:00",58411
"2021-05-29 00:00:00",58430
"2021-05-30 00:00:00",58444
"2021-05-31 00:00:00",58464
"2021-06-01 00:00:00",58470
"2021-06-02 00:00:00",58477
"2021-06-03 00:00:00",58494
"2021-06-04 00:00:00",58498
"2021-06-05 00:00:00",58500
"2021-06-06 00:00:00",58516
"2021-06-07 00:00:00",58523
"2021-06-08 00:00:00",58532
"2021-06-09 00:00:00",58540
"2021-06-10 00:00:00",58551
"2021-06-11 00:00:00",58553
"2021-06-12 00:00:00",58564
"2021-06-13 00:00:00",58571
"2021-06-14 00:00:00",58585
"2021-06-15 00:00:00",58590
"2021-06-16 00:00:00",58588
"2021-06-17 00:00:00",58596
"2021-06-18 00:00:00",58600
"2021-06-19 00:00:00",58606
"2021-06-20 00:00:00",58614
"2021-06-21 00:00:00",58619
"2021-06-22 00:00:00",58621
"2021-06-23 00:00:00",58623
"2021-06-24 00:00:00",58635
"2021-06-25 00:00:00",58646
"2021-06-26 00:00:00",58664
"2021-06-27 00:00:00",58685
"2021-06-28 00:00:00",58697
"2021-06-29 00:00:00",58708
"2021-06-30 00:00:00",58724
"2021-07-01 00:00:00",58739
"2021-07-02 00:00:00",58753
"2021-07-03 00:00:00",58767
"2021-07-04 00:00:00",58777
